epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5865,1.10691,2.66079,1.24549,0.30177,0.37757,0.26709,0.15148,1.43386,2.34881,1.43913,0.000551489,0.000551489,0.000551489
2,78.834,1.29375,1.87372,1.37237,0.35298,0.33199,0.25399,0.13665,1.61607,2.62408,1.51211,0.00108523,0.00108523,0.00108523
3,101.477,1.36588,1.96209,1.41397,0.31649,0.34265,0.18933,0.09899,1.65541,2.55862,1.58308,0.00159697,0.00159697,0.00159697
4,124.948,1.39893,1.97311,1.42432,0.29429,0.32598,0.23958,0.1293,1.63549,2.51942,1.62316,0.00156798,0.00156798,0.00156798
5,151.364,1.34909,1.86193,1.39202,0.39175,0.34832,0.28893,0.16405,1.59091,2.32102,1.52468,0.00153497,0.00153497,0.00153497
6,175.4,1.28867,1.80629,1.36102,0.36963,0.33882,0.27002,0.16081,1.44296,2.32824,1.44449,0.00150197,0.00150197,0.00150197
7,199.838,1.22858,1.71681,1.315,0.42244,0.40063,0.36967,0.22049,1.43124,2.14695,1.44533,0.00146896,0.00146896,0.00146896
8,223.87,1.21742,1.67396,1.3104,0.37319,0.41467,0.34023,0.21004,1.41793,2.07642,1.38407,0.00143595,0.00143595,0.00143595
9,248.657,1.20992,1.63094,1.3032,0.42816,0.36646,0.35144,0.20931,1.36185,2.13603,1.3646,0.00140295,0.00140295,0.00140295
10,272.722,1.15987,1.57141,1.27325,0.41333,0.44629,0.38579,0.23975,1.33279,2.03708,1.39246,0.00136994,0.00136994,0.00136994
11,297.006,1.17352,1.55224,1.27749,0.53928,0.40765,0.42025,0.26153,1.34284,2.17993,1.35791,0.00133693,0.00133693,0.00133693
12,324.343,1.13616,1.49678,1.26741,0.35605,0.43093,0.32747,0.20342,1.31974,2.26133,1.35995,0.00130393,0.00130393,0.00130393
13,354.885,1.13032,1.48652,1.26006,0.41432,0.48076,0.40545,0.25965,1.28474,1.86745,1.34358,0.00127092,0.00127092,0.00127092
14,383.077,1.09572,1.429,1.23862,0.48806,0.45727,0.4156,0.26912,1.24636,2.01305,1.2846,0.00123791,0.00123791,0.00123791
15,406.735,1.07673,1.38755,1.22177,0.58267,0.45103,0.48364,0.31064,1.23701,1.96867,1.284,0.00120491,0.00120491,0.00120491
16,430.659,1.08632,1.38265,1.22929,0.44131,0.45334,0.41619,0.26751,1.21463,1.95575,1.26422,0.0011719,0.0011719,0.0011719
17,454.317,1.05057,1.33814,1.20044,0.47785,0.50625,0.4725,0.30011,1.258,1.73758,1.32177,0.00113889,0.00113889,0.00113889
18,478.045,1.05372,1.31807,1.20217,0.55563,0.46357,0.50606,0.32326,1.23602,1.74445,1.30413,0.00110589,0.00110589,0.00110589
19,501.997,1.03274,1.28125,1.1915,0.47831,0.45051,0.45519,0.29518,1.244,1.85106,1.30405,0.00107288,0.00107288,0.00107288
20,525.725,1.01196,1.27746,1.18944,0.50006,0.47186,0.45561,0.29493,1.19437,1.95406,1.27757,0.00103987,0.00103987,0.00103987
21,549.445,1.00212,1.26569,1.18639,0.48077,0.50615,0.47667,0.31866,1.15299,1.69249,1.22447,0.00100687,0.00100687,0.00100687
22,576.728,0.98624,1.22194,1.17109,0.52473,0.52641,0.54306,0.36043,1.18172,1.64449,1.25533,0.000973861,0.000973861,0.000973861
23,603.033,0.98171,1.21308,1.16703,0.50807,0.49707,0.50962,0.34583,1.13913,1.73872,1.21894,0.000940855,0.000940855,0.000940855
24,631.799,0.97058,1.19706,1.1646,0.48393,0.50332,0.46713,0.30362,1.17323,1.70701,1.25821,0.000907848,0.000907848,0.000907848
25,659.537,0.9517,1.14649,1.14877,0.48541,0.48534,0.46514,0.31213,1.16692,1.84076,1.24465,0.000874842,0.000874842,0.000874842
26,683.325,0.93622,1.12248,1.14625,0.55653,0.49094,0.51135,0.3419,1.1284,1.57869,1.22307,0.000841835,0.000841835,0.000841835
27,706.963,0.93294,1.12402,1.13758,0.4926,0.52489,0.50208,0.33664,1.14211,1.65212,1.23809,0.000808828,0.000808828,0.000808828
28,730.862,0.92846,1.09484,1.14047,0.54164,0.5476,0.53624,0.36216,1.14995,1.56656,1.21445,0.000775822,0.000775822,0.000775822
29,754.681,0.91931,1.05718,1.12335,0.49256,0.48569,0.47495,0.31391,1.16878,1.67209,1.23455,0.000742815,0.000742815,0.000742815
30,778.412,0.91787,1.07722,1.12277,0.57728,0.49596,0.54274,0.37073,1.11219,1.53124,1.20047,0.000709809,0.000709809,0.000709809
31,802.284,0.90017,1.03958,1.12345,0.5104,0.52347,0.50011,0.34399,1.13003,1.77084,1.2301,0.000676802,0.000676802,0.000676802
32,825.999,0.88034,1.00154,1.10548,0.53542,0.54116,0.546,0.36883,1.10165,1.53003,1.19105,0.000643795,0.000643795,0.000643795
33,849.657,0.87238,0.98884,1.10229,0.57151,0.47216,0.49601,0.32796,1.1614,1.73395,1.25603,0.000610789,0.000610789,0.000610789
34,875.419,0.86308,0.97655,1.08926,0.57618,0.52621,0.54845,0.37866,1.12759,1.58879,1.21569,0.000577782,0.000577782,0.000577782
35,902.373,0.86177,0.93228,1.09564,0.58769,0.52919,0.5359,0.36633,1.11008,1.51576,1.20869,0.000544776,0.000544776,0.000544776
36,930.492,0.85487,0.94253,1.09082,0.52862,0.52534,0.50926,0.36165,1.07232,1.69056,1.1825,0.000511769,0.000511769,0.000511769
37,957.972,0.84209,0.9174,1.08093,0.54615,0.5406,0.54827,0.37358,1.12483,1.52558,1.21373,0.000478762,0.000478762,0.000478762
38,985.733,0.82376,0.89037,1.07351,0.48061,0.56637,0.52012,0.35675,1.08387,1.61124,1.19773,0.000445756,0.000445756,0.000445756
