epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.8307,1.22643,1.58037,0.01124,0.39421,0.35067,0.31162,0.17749,1.50213,3.47003,0.01415,0.000661333,0.000661333,0.000661333
2,114.596,1.53564,1.88026,0.01518,0.38235,0.26678,0.22244,0.11165,1.87925,3.39613,0.01805,0.00130171,0.00130171,0.00130171
3,159.068,1.6759,1.9668,0.01632,0.16436,0.25503,0.10607,0.05638,1.78694,6.54106,0.01875,0.00191568,0.00191568,0.00191568
4,204.632,1.72134,1.91056,0.01677,0.34726,0.32886,0.24787,0.11991,1.75854,5.80189,0.01622,0.0018812,0.0018812,0.0018812
5,250.543,1.63694,1.88751,0.01607,0.30174,0.32215,0.2274,0.11181,1.73193,4.16908,0.01605,0.0018416,0.0018416,0.0018416
6,296.981,1.60846,1.72697,0.01523,0.31984,0.41107,0.27931,0.14663,1.61924,5.43078,0.01493,0.001802,0.001802,0.001802
7,345.387,1.51125,1.71924,0.01451,0.36629,0.36913,0.2767,0.14171,1.6912,4.80221,0.01647,0.0017624,0.0017624,0.0017624
8,392.674,1.51641,1.70955,0.01407,0.43444,0.38087,0.32213,0.1801,1.45681,4.38258,0.01277,0.0017228,0.0017228,0.0017228
9,437.137,1.47455,1.59424,0.01426,0.3732,0.42282,0.33474,0.18553,1.52614,4.39937,0.01342,0.0016832,0.0016832,0.0016832
10,484.051,1.42861,1.58378,0.01301,0.43876,0.4245,0.40023,0.23367,1.49552,2.87473,0.0131,0.0016436,0.0016436,0.0016436
11,528.67,1.38705,1.51225,0.0131,0.52718,0.41611,0.4144,0.22953,1.49668,2.77784,0.01321,0.001604,0.001604,0.001604
12,574.231,1.36734,1.43895,0.01246,0.4832,0.45302,0.43478,0.26453,1.37257,3.46402,0.01161,0.0015644,0.0015644,0.0015644
13,624.432,1.38329,1.39016,0.01316,0.44835,0.49832,0.43446,0.25342,1.48521,3.13725,0.01328,0.0015248,0.0015248,0.0015248
14,678.762,1.32385,1.36855,0.012,0.43255,0.44892,0.39721,0.23588,1.43358,2.9292,0.01284,0.0014852,0.0014852,0.0014852
15,727.135,1.3111,1.32101,0.01188,0.47475,0.45805,0.42164,0.26262,1.42942,3.07609,0.0128,0.0014456,0.0014456,0.0014456
16,775.468,1.2804,1.23324,0.01184,0.45284,0.41443,0.37496,0.23913,1.34183,3.30526,0.0118,0.001406,0.001406,0.001406
17,825.032,1.2422,1.22951,0.01151,0.4201,0.42178,0.36795,0.22139,1.42289,3.1531,0.01249,0.0013664,0.0013664,0.0013664
18,880.213,1.22999,1.23108,0.01108,0.46183,0.51678,0.44516,0.26892,1.42035,2.6832,0.01257,0.0013268,0.0013268,0.0013268
19,930.146,1.21646,1.19382,0.01111,0.49987,0.47315,0.45546,0.28305,1.33895,3.66543,0.01166,0.0012872,0.0012872,0.0012872
20,982.947,1.19532,1.18104,0.01081,0.45397,0.46592,0.42884,0.26328,1.34859,2.67552,0.01151,0.0012476,0.0012476,0.0012476
21,1035.17,1.15881,1.16029,0.01056,0.50012,0.48826,0.44242,0.26469,1.39448,3.28993,0.01268,0.001208,0.001208,0.001208
22,1083.82,1.14555,1.11002,0.01037,0.51451,0.50839,0.48245,0.28958,1.38011,2.99179,0.01206,0.0011684,0.0011684,0.0011684
23,1132.07,1.14804,1.15608,0.01062,0.52837,0.4698,0.45338,0.27465,1.46568,2.53966,0.01303,0.0011288,0.0011288,0.0011288
24,1180.5,1.1127,1.07186,0.01012,0.48667,0.46309,0.45538,0.28855,1.29017,2.81424,0.01106,0.0010892,0.0010892,0.0010892
25,1228.95,1.10826,1.03278,0.00986,0.45522,0.53137,0.44947,0.27838,1.32955,3.48262,0.01144,0.0010496,0.0010496,0.0010496
26,1277.29,1.09103,1.00026,0.00969,0.52966,0.49881,0.47699,0.30352,1.33777,2.87879,0.01128,0.00101,0.00101,0.00101
27,1329.96,1.06897,1.0311,0.00948,0.60277,0.56711,0.54137,0.33246,1.26242,2.70858,0.01067,0.0009704,0.0009704,0.0009704
28,1378.16,1.03358,0.98577,0.00944,0.4961,0.52181,0.45795,0.2995,1.24727,2.97147,0.01068,0.0009308,0.0009308,0.0009308
29,1429.02,1.02724,0.9656,0.00893,0.56373,0.49649,0.481,0.30154,1.31548,3.18674,0.01119,0.0008912,0.0008912,0.0008912
